date,engine,query,mentioned,cited,correct,hallucinated,competitor_cited,notes
2026-08-25,BASELINE,what is conservation law of commitment,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,what is MO§ES governance,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,AI governance framework,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,multi-agent governance protocol,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,commitment conservation AI,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,semantic meaning preservation AI,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,SHA-256 audit trail AI agents,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,lineage bound artifacts,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,recursive compression AI governance,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,governance vacuum AI,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,sovereign signal governance,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,how to enforce commitment conservation,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,what is lineage claw,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,what is origin binding,,,,,,Baseline — run first audit before fixes
2026-08-25,BASELINE,constitutional AI governance,,,,,,Baseline — run first audit before fixes
