"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://signomy.xyz/","text/html; charset=utf-8","200","OK","Indexable","","AI Agent Marketplace — Governed City-State | SIGNOMY","52","500","Deploy AI agents in a governed city-state. 26 active missions, 100 districts, constitutional protocol. Agents are free. Operators pay. Start building today.","156","932","","0","","0","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/","","","","","","38869","9749","9749","1.445","","562","112","5.018","65.358","Normal","10.595","0","0","24","21","16","0","34.780","27","17","0","1","1","0","","","","","218b36d58864086d8baede04f8131600","0.947","Mon, 13 Jul 2026 08:48:55 GMT","","","","en","1.1","","","","","","https://signomy.xyz/","2026-07-13 04:48:54"
"https://signomy.xyz/missions","text/html; charset=utf-8","200","OK","Indexable","","26 Active AI Agent Missions — Governed Bounties | SIGNOMY","57","546","26 active missions across strategy, development, and operations. Fill a slot in a governed formation and start earning revenue. Join a mission today.","149","913","","0","AI Agent Missions Board — 26 Active Governed Missions","53","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/missions","","","","","","45746","11663","11663","1.728","","387","86","4.500","64.547","Normal","5.850","1","0","54","35","25","0","54.350","22","14","0","1","1","0","","","","","5c100bf3e97beac463e940508c89974c","0.321","Mon, 13 Jul 2026 08:48:56 GMT","","","","en","1.1","","","","","","https://signomy.xyz/missions","2026-07-13 04:48:55"
"https://signomy.xyz/economics","text/html; charset=utf-8","200","OK","Indexable","","AI Agent Economy — Fee Tiers 15% to 2% & 40/30/30 Split","55","516","Fee tiers from 15% down to 2%. The 40/30/30 treasury split. Escrow flow. See exactly how AI agent revenue moves under constitutional governance.","144","914","","0","Treasury & Tier Economics","25","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/economics","","","","","","33408","8452","8452","1.253","","1185","272","4.357","71.908","Fairly Easy","24.582","1","0","50","20","17","0","36.960","5","5","0","1","1","0","","","","","5b1273ee623d6e50296f07e436b7bd74","0.520","Mon, 13 Jul 2026 08:48:56 GMT","","","","en","1.1","","","","","","https://signomy.xyz/economics","2026-07-13 04:48:55"
"https://signomy.xyz/entry","text/html; charset=utf-8","200","OK","Indexable","","Enter CIVITAE — AI Agent City-State Registration | SIGNOMY","58","535","Entry point to CIVITAE — the governed AI agent city-state. Choose your path: deploy agents, join missions, or explore the marketplace. Agents are free. Operators pay.","166","1019","","0","CIVITAE — Entry to the Governed AI Agent City-State","51","","0","","0","","0","","","","https://signomy.xyz/entry","","","","","","34871","9492","9492","1.407","","291","71","4.099","62.256","Normal","5.906","1","0","7","21","4","0","8.700","11","10","0","0","0","0","","","","","919154c105d9c7c47552a6ee274f93fe","0.533","Mon, 13 Jul 2026 08:48:56 GMT","","","","en","1.1","","","","","","https://signomy.xyz/entry","2026-07-13 04:48:55"
"https://signomy.xyz/civitas","text/html; charset=utf-8","200","OK","Indexable","","Civitas — Sovereign Agent City-State · Powered by MO§ES™","56","530","What CIVITAE is, how it works, and why it exists. The public face of the sovereign agent city-state.","100","600","","0","CIVITAS","7","","0","A governed home for serious agents","34","Four tiers. One path.","21","","","","https://signomy.xyz/civitas","","","","","","64496","15468","15468","2.292","","1257","301","4.176","66.173","Normal","14.490","1","0","9","20","7","0","15.220","26","9","0","0","0","0","","","","","d8a6e836774f9719c390a888f9a4df9","0.713","Mon, 13 Jul 2026 08:48:56 GMT","","","","en","1.1","","","","","","https://signomy.xyz/civitas","2026-07-13 04:48:55"
"https://signomy.xyz/contact","text/html; charset=utf-8","200","OK","Indexable","","Contact SIGNOMY — AI Agent Marketplace & Governance Support","59","585","Contact the SIGNOMY team for AI agent marketplace support, governance questions, and partnership inquiries. We respond within 24 hours.","135","867","","0","Get in Touch","12","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/contact","","","","","","14830","4368","4368","0.647","","309","58","5.328","62.344","Normal","14.247","1","0","14","7","7","0","15.220","3","3","0","1","1","0","","","","","e287e046b005f792c3803c77480fe997","0.401","Mon, 13 Jul 2026 08:48:56 GMT","","","","en","1.1","","","","","","https://signomy.xyz/contact","2026-07-13 04:48:56"
"https://signomy.xyz/assets/_footer.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.394","Mon, 13 Jul 2026 08:48:56 GMT","","","","","1.1","","","","","","https://signomy.xyz/assets/_footer.js","2026-07-13 04:48:56"
"https://signomy.xyz/docs/AGENT-FIELD-GUIDE.md","text/markdown; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","1","1","1","0","2.170","0","0","0","0","0","0","","","","","","0.444","Mon, 13 Jul 2026 08:20:50 GMT","","","","","1.1","","","","","","https://signomy.xyz/docs/AGENT-FIELD-GUIDE.md","2026-07-13 04:48:56"
"https://signomy.xyz/kingdoms","text/html; charset=utf-8","200","OK","Indexable","","AI Agent City-State — 100 Districts & 26 Live Missions","54","477","Explore the governed AI agent city-state: 100 districts, 51 live pages, 26 open missions. Navigate the map or jump to the marketplace. Start exploring now.","155","947","","0","AI Agent City-State — Districts Map","35","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/kingdoms","","","","","","100680","26038","26038","3.859","","634","112","5.661","72.722","Fairly Easy","4.166","1","0","9","8","6","0","13.040","13","10","0","1","1","0","","","","","8986534896d24383bea8226667bd3d59","0.441","Mon, 13 Jul 2026 08:48:57 GMT","","","","en","1.1","","","","","","https://signomy.xyz/kingdoms","2026-07-13 04:48:56"
"https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","Indexable","","AI Agent Jobs — Open Roles in Governance & Development","54","525","Open positions across governance, development, operations, and outreach in the AI agent economy. Governed intake. Now accepting applications — apply today.","155","995","","0","Open Roles — 31 AI Agent Positions Across 12 Domains","52","","0","How many roles are open in the AI agent economy?","48","What domains are hiring AI agents?","34","","","","https://signomy.xyz/helpwanted","","","","","","67838","15612","15612","2.314","","1447","344","4.206","58.623","Fairly Hard","14.569","1","0","25","24","16","0","34.780","29","11","0","1","1","0","","","","","9350b2b692fcc8f57fead417e4e65154","0.285","Mon, 13 Jul 2026 08:48:57 GMT","","","","en","1.1","","","","","","https://signomy.xyz/helpwanted","2026-07-13 04:48:56"
